
==========================================================================================
Pass@1 with 95% Bootstrap CI [DEV_REPORT queries]
==========================================================================================
Method                        B=2000          B=4000          B=8000         B=10000      Avg
------------------------------------------------------------------------------------------
bca                   0.11[0.07,0.15]  0.14[0.10,0.18]  0.18[0.13,0.23]  0.23[0.18,0.29]      0.16
bca_d1                0.11[0.08,0.16]  0.13[0.09,0.17]  0.20[0.16,0.26]  0.24[0.19,0.30]      0.17
bca_d5                0.10[0.06,0.14]  0.12[0.08,0.16]  0.18[0.13,0.23]  0.20[0.16,0.26]      0.15
bca_no_closure        0.11[0.07,0.15]  0.15[0.10,0.19]  0.20[0.15,0.25]  0.24[0.19,0.30]      0.18
bca_no_scoring        0.09[0.06,0.13]  0.10[0.06,0.14]  0.12[0.08,0.16]  0.13[0.09,0.18]      0.11
bm25                  0.16[0.12,0.21]  0.19[0.14,0.24]  0.21[0.16,0.26]  0.20[0.15,0.25]      0.19
no_retrieval          0.02[0.01,0.04]  0.02[0.01,0.04]  0.02[0.01,0.04]  0.02[0.01,0.04]      0.02
repo_map              0.19[0.14,0.24]  0.21[0.16,0.26]  0.19[0.14,0.24]  0.19[0.14,0.24]      0.19
vector                0.21[0.16,0.26]  0.23[0.18,0.28]  0.25[0.20,0.30]  0.23[0.18,0.29]      0.23
oracle                          0.35            0.39            0.43            0.42      0.40
